id,date,time,location,equipment,severity,worker_id,worker_role,worker_experience_years,description,cause,countermeasure
ACC-2023-011,2023-08-30,14:00,"第2製造棟 溶接エリア",溶接機,軽微,W-014,製造スタッフ,6,"2棟 溶接エリアでの溶接作業中、アーク溶接機のスパッタが防護服の隙間（袖口と手袋の間）に入り込み、右手首に軽度の火傷を負った。冷水で処置して当日業務に復帰した。","防護服と手袋の組み合わせに隙間があり、スパッタが侵入した。袖口の固定が不十分だった。","溶接作業時の防護服の正しい着用方法について全員に周知した。袖口固定用のバンドを導入した。"
ACC-2023-012,2023-02-08,08:45,"屋外（荷捌き場）",フォークリフト,軽微,W-004,フォークリフトオペレーター,12,"荷受けエリアでの荷卸し作業中、フォークリフトで積み上げたパレットが崩れ、落下した梱包材が近くにいた別の作業員の足に当たった。打撲を負ったが当日業務に復帰した。","パレットの積み方が安定していなかったにもかかわらず、確認せずに搬送を続けた。",""
ACC-2023-013,2023-05-25,11:45,"第1製造棟 組立エリア",グラインダー,ヒヤリハット,W-010,品質管理スタッフ,2,"組立工程の出荷前検査でバリ取り用の卓上グラインダーを使用中に砥石が突然割れた。破片は飛散したが保護メガネと防護板が効いており身体への影響はなかった。使用前に異音がしていたことには気づいていたが、作業を続けてしまった。","","砥石の使用前点検を作業チェックリストに追加した。砥石の交換基準を明示した案内板を設置した。"
ACC-2023-014,2023-07-14,17:10,"倉庫・搬送エリア",コンベア,ヒヤリハット,W-013,設備保全スタッフ,15,"倉庫内の搬送コンベア保守点検作業中、ベルト調整のために機械を低速運転させていたところ、作業服の裾がベルトに巻き込まれそうになった。咄嗟に身を引いて難を逃れた。","",""
ACC-2023-015,2023-09-28,21:00,"第2製造棟 機械加工エリア",旋盤,重大,W-015,機械オペレーター,22,"夜勤帯での NC 旋盤作業中、加工終了後に停止ランプを確認して部品取り出しに入ったが、スピンドルがまだ低速で回転していた。接触して左手甲に裂傷を負い、縫合が必要な怪我となった。2週間の休業を要した。夜勤帯は照明が一部切れており視認性が低下していた。旋盤エリアの最古参オペレーターとして単独夜勤を任されていたが、加齢による視力の衰えについては本人も周囲も把握していなかった。","停止ランプと運転ランプの色を見誤った。夜勤帯の照明不足により計器類の視認性が低下していた。経験豊富なオペレーターであったため単独夜勤を任せていたが、視力の衰えに対応した業務配置の見直しがされていなかった。","旋盤エリアの照明を全灯に修繕した。停止確認を目視（スピンドルの静止確認）と音声確認の2段階とする手順を追加した。W-015 の定期視力検査を実施することとした。"
ACC-2023-016,2023-03-30,08:30,"第1製造棟 組立エリア",コンベア,軽微,W-007,パート・アルバイト,1,"1棟の組立ライン付近で部品の補充作業中、搬送ラインの角に気づかず脚をぶつけて転倒した。膝に打撲を負ったが処置後当日業務に復帰した。","",""
ACC-2023-017,2023-11-21,15:00,"第2製造棟 機械加工エリア",切断機,ヒヤリハット,W-014,製造スタッフ,6,"機械加工フロアでの鋸盤による切断作業中、固定治具の締め付けが不十分な状態で切断を開始したところ、素材が振れてバンドソーのブレードに当たり手元に跳ね返ってきた。咄嗟に身を引いたため怪我はなかった。","素材の固定確認を省いて切断を開始した。急いでいたため確認が甘くなった。","切断機使用前の固定確認を作業手順書に明記し全員に周知した。"
ACC-2024-001,2024-01-18,20:30,"第1製造棟 プレスエリア",プレス機,軽微,W-012,派遣スタッフ,0,"夜勤帯での第1製造棟プレスエリアへの配置中、プレス加工後の部品を取り出す際に機械の起動タイミングを誤り、左手の指先を台座との間に挟んだ。表皮の擦り傷と軽度の打撲で、処置後当日業務に復帰した。配属後間もなく、夜勤帯での単独配置は今回が初めてだった。","機械の操作タイミングへの習熟が不十分だった。夜勤帯での単独配置前の力量確認が行われていなかった。","新規配置スタッフの夜勤配置前に機械操作の習熟度確認を義務づける手順を追加した。"
ACC-2024-002,2024-05-22,10:40,"倉庫・搬送エリア",フォークリフト,ヒヤリハット,W-011,フォークリフトオペレーター,8,"搬送エリアの倉庫内カーブをフォークリフトで旋回した際、向こうから急いで歩いてきた作業員とぶつかりそうになった。2023年に同じ場所で同様の出来事があり、その際に貼付した注意喚起ステッカーは退色して目立たなくなっていた。","前回の対策として貼付したステッカーが退色しており視認性が低下していた。徐行ルールの周知も形骸化していた。","退色したステッカーを貼り替え、徐行ルールの再周知を行った。物理的なバリア設置については予算の都合で見送りとなった。"
ACC-2024-003,2024-04-10,14:20,"第2製造棟 機械加工エリア",旋盤,軽微,W-009,機械オペレーター,5,"機械加工フロアの数値制御旋盤での作業後、加工部品の切りくず除去中に左手人差し指と中指の間を切傷した。グローブは作業台の上に置いてあったが、指の感触が必要な作業と判断して外したままにしていた。前回（2023年7月）の指導後も同じ行動が続いていた。","耐切創グローブを着用しなかった（再発）。前回の個別指導後もグローブを省略する習慣が改まっていなかった。","班長に経緯を報告し、グローブ着用の再指導を実施した。着用状況の確認を班長の日常点検項目に加えた。"
ACC-2024-004,2024-06-05,09:00,"屋外（荷捌き場）",フォークリフト,中位,W-004,フォークリフトオペレーター,13,"工場前 駐車場付近の荷受けエリアで、積み過ぎた状態のパレットを搬送中にバランスが崩れ、最上段の箱が落下した。近くで荷受け作業をしていた作業員の肩に当たり、肩関節の捻挫と打撲で2週間の休業となった。","規定の積載高を超えてパレットを積んだまま搬送を続けた。周囲の作業員への声かけもしていなかった。","積載高の上限遵守について全フォークリフトオペレーターに再教育を実施した。屋外搬送時の作業員立ち入り禁止エリアの標示を強化した。"
ACC-2024-005,2024-02-27,15:30,"第1製造棟 組立エリア",グラインダー,軽微,W-003,品質管理スタッフ,9,"組立工程の出荷前検査でのバリ取り作業中、研削盤のディスクが素材に食い込む感触があり工具を離そうとしたところ、反動で工具が振れて右手前腕に擦り傷を負った。保護具は着用していた。","","グラインダー使用時の工具保持姿勢と素材への当て方について技術指導を実施した。"
ACC-2024-006,2024-09-15,13:10,"第2製造棟 溶接エリア",溶接機,軽微,W-005,溶接工,6,"2棟 溶接エリアでの MIG 溶接機を用いた作業中、遮光保護面が作業途中でズレたことに気づかず継続したため紫外線性眼炎症が再発した。2023年の前回と同様の症状で、翌日に眼科を受診した。今回の保護面は2019年製で、フレームのプラスチック部が劣化して固定力が落ちていた。","老朽化した遮光保護具を使い続けていた。前回の指導後も保護具の更新は個人の判断に委ねられたままで、実際には更新されていなかった。","W-005 に新しい遮光保護具を支給した。保護具の更新管理を個人任せにしない運用の見直し検討を開始した。"
ACC-2024-007,2024-03-07,22:15,"第2製造棟 機械加工エリア",旋盤,ヒヤリハット,W-002,機械オペレーター,1,"夜勤帯の自動旋盤作業中、次の工程へ移行する際にスピンドルの回転が止まったと判断して部品取り出しに手を伸ばしたが、わずかな惰性回転が残っており指先が接触しそうになった。咄嗟に手を引き怪我はなかった。","","スピンドル停止確認の待機時間について再度の個別指導を実施した。"
ACC-2024-008,2024-07-11,07:30,"第1製造棟 プレスエリア",プレス機,中位,W-013,設備保全スタッフ,16,"日勤開始直後の段取り替え作業中、機械プレスの金型を交換した後に動作確認のため試打ちを行ったところ、段取りが完了していない状態で起動し金型がズレた。はじき飛んだ工具が左肩に当たり、筋挫傷で1週間の休業となった。","段取り完了の確認を省略して試打ちに移行した。交替直後の時間帯で前工程からの引き継ぎが不十分だった。","段取り替え後の試打ち前チェックリストを整備し、設備保全スタッフ全員に周知した。"
ACC-2024-009,2024-08-20,11:00,"第1製造棟 組立エリア",切断機,ヒヤリハット,W-010,品質管理スタッフ,3,"組立ライン最終工程でのレーザー切断機による端材切除作業中、素材の固定が不十分なまま作動させたため素材がズレて刃に接触し、火花が手元付近まで飛散した。怪我はなかった。","固定確認の手順を省いた。初めて扱う形状の素材で、固定位置の判断が不十分だった。",""
ACC-2024-010,2024-10-30,16:45,"倉庫・搬送エリア",フォークリフト,ヒヤリハット,W-011,フォークリフトオペレーター,8,"荷捌き倉庫内で棚への補充作業中、ピッキングリフトの爪が棚の支柱に接触しそうになり急停止した。近くに作業員がいたため、接触していれば巻き添えになっていた可能性があった。","狭い通路での操作で爪の先端位置の確認が不十分だった。",""
ACC-2024-011,2024-11-12,14:50,"第1製造棟 プレスエリア",プレス機,ヒヤリハット,W-008,製造スタッフ,19,"1棟 プレスのある製造ラインでの加工中、部品の位置を微調整しようとした際に機械が想定外のタイミングで起動した。手はすでに引いていたが、数センチ遅れていれば手が挟まれていた。","フットペダルに足が触れていたことに気づかず誤って踏み込んでいた。","フットペダル式プレス機に誤操作防止のカバーを設置した。操作方法を全員に改めて周知した。"
ACC-2024-012,2024-02-14,10:20,"第2製造棟 機械加工エリア",高所作業車,ヒヤリハット,W-006,設備保全スタッフ,21,"第二製造棟の高所配管の点検中、昇降台上での作業中に上方の配管と頭部が接触しそうになった。直前に気づいて身をかわした。","","高所作業前のヘルメット着用と作業範囲の事前確認を義務づける手順を改めて周知した。"
ACC-2024-013,2024-04-23,15:00,"第2製造棟 溶接エリア",溶接機,ヒヤリハット,W-014,製造スタッフ,7,"溶接ブースでのアーク溶接中、スパッタが飛散して遮光面の外側の首筋付近に当たった。防護服の襟の立て方が不十分だったが、皮膚への影響はなかった。","防護服の正しい着用ができていなかった。",""
ACC-2024-014,2024-06-18,08:50,"第1製造棟 組立エリア",コンベア,ヒヤリハット,W-007,パート・アルバイト,2,"組立ラインのベルトコンベア付近で作業中、作業着の裾がコンベアのローラー部に触れていたことに同僚が気づいて声をかけてくれた。自分では気づいていなかった。","",""
ACC-2024-015,2024-08-07,21:30,"第2製造棟 溶接エリア",溶接機,軽微,W-012,派遣スタッフ,0,"夜勤帯の溶接エリアへの配置中、溶接装置を使用した際にスパッタが右手甲に付着し、軽度の火傷を負った。作業手順書を読んで溶接作業に従事していたが、スパッタの飛散方向の読みが不十分だった。","溶接作業の経験が浅く、スパッタの飛散パターンへの対応が不十分だった。夜勤帯での溶接配置前の習熟確認が行われていなかった。","派遣スタッフへの溶接安全教育を入場時研修に組み込む対応を検討中。"
ACC-2024-016,2024-10-03,21:00,"第2製造棟 機械加工エリア",旋盤,中位,W-015,機械オペレーター,23,"夜勤帯での NC 旋盤作業中、加工クズを工具で除去する際に惰性回転中のスピンドルに工具が接触し、工具が弾かれて右前腕部に当たった。擦り傷と打撲で数日の休業となった。2023年の事故を受けた照明修繕・手順改訂は実施されていたが、W-015 への単独夜勤配置は継続していた。","スピンドルの完全停止前に工具を近づけた。前回の対策は実施されていたが、高経験者として単独夜勤配置の例外運用が続いていた。",""
ACC-2024-017,2024-12-06,10:00,"第1製造棟 組立エリア",グラインダー,重大,W-003,品質管理スタッフ,9,"組立工程最終検査でのバリ取り作業中、卓上グラインダーの砥石が高速回転中に突然大きく破損した。複数の破片が飛散し、保護メガネ越しに左眼の眼窩付近に当たり眼窩骨折と角膜損傷を負った。救急搬送され手術を受け、2週間の入院後も外来治療が続いており職場復帰は未定。砥石は使用限度を超えて継続使用されていた。点検記録には異常なしとの記録が残っていたが、実際の点検が十分であったか調査中。2023年5月に同一エリアで砥石が割れるヒヤリハットが発生していたにもかかわらず、抜本的な点検強化がなされていなかった。","砥石の使用限度を超えた継続使用。使用前点検が形式的になっており、劣化サインを見逃していた。2023年のヒヤリハット後の対策が砥石交換基準の明示にとどまり、実施状況の確認が行われていなかった。","全グラインダーの砥石を即時点検・交換した。砥石の使用時間を記録する台帳を整備した。使用前点検の方法を実地訓練で全員に習得させることとした。"
ACC-2025-001,2025-04-08,13:45,"第1製造棟 プレスエリア",プレス機,中位,W-008,製造スタッフ,20,"第1製造棟 プレスエリアでの打ち抜き作業中、金型交換後の安全確認チェックリストを省略して機械を起動した。左手小指が金型可動部に入り込み、緊急停止ボタンで停止したものの指先の挫傷と打撲で1週間の休業となった。2023年の同種事故後に作成されたチェックリストだが、ベテランには形式的で不要と感じていた。","金型交換後の安全確認手順書（チェックリスト）を自己判断でスキップした。ベテラン作業員を中心にチェックリストが形骸化しており、確認の実施を監視・担保する仕組みがなかった。","チェックリストの実施を全工程で義務化し、班長の確認署名を必須とした。チェックリスト未完了での起動を防止するインターロック機構の設置を発注した。"
ACC-2025-002,2025-07-14,23:10,"第2製造棟 機械加工エリア",旋盤,重大,W-002,機械オペレーター,2,"夜勤帯の第2製造棟 機械加工フロアでの NC 旋盤作業中、加工完了後に部品を取り外す際にスピンドルの回転が残っており、右手中指が挟まれて末節骨の骨折と神経損傷を伴う重傷を負った。救急搬送・手術・入院となり術後リハビリを含む長期休業が見込まれる。2023年にも類似の重大事故を起こしていたが夜勤単独配置は解消されていなかった。","スピンドルの完全停止を確認せずに部品を取り出した。2023年の重大事故後も夜勤の人員不足を理由に同一作業者の単独配置が継続されており、根本的なリスク要因が残存していた。","旋盤の夜勤単独配置を禁止し2名体制を義務化した。経験年数3年未満の作業員の夜勤配置基準を見直す検討委員会を設置した。"
ACC-2025-003,2025-02-20,21:00,"第1製造棟 組立エリア",切断機,軽微,W-012,派遣スタッフ,1,"夜勤帯の第1製造棟 組立エリアでのバンドソーを使用した金属棒の切断作業中、切断後の端材が予期せぬ方向に飛散して右前腕部に接触した。表皮の裂傷で救急処置後に業務復帰した。端材の飛散防止ガードが所定の位置に固定されていなかった。","切断作業前の端材飛散防止カバーの固定確認を怠った。夜勤帯での1人作業中に確認工程が省略されやすい状況だった。","切断機使用前の飛散防止カバー固定確認を手順書に追記した。夜勤帯での単独作業時の安全確認手順を強化した。"
ACC-2025-004,2025-06-05,11:30,"第2製造棟 溶接エリア",溶接機,軽微,W-005,溶接工,7,"溶接ブースでのアーク溶接作業中、遮光フェイスシールドの顎部の締め付けが緩んでいたため紫外線が目に入り、翌日に充血と痛みを伴う紫外線性角膜炎を発症した。2023年・2024年と同じ症状で3度目の発症となった。2024年に新品の保護具が支給されていたが、サイズ調整をしないまま使用し続けていた。","支給された保護具のフィット調整が行われないまま使用していた。個々の作業者への保護具フィット確認を行う仕組みがなかった。3度目の再発となり管理体制そのものの問題が明確となった。","全溶接作業者の保護具についてフィット専任確認を実施した。保護具の状態・使用期間を記録する定期点検台帳を制度化した。"
ACC-2025-005,2025-09-18,10:50,"倉庫・搬送エリア",フォークリフト,軽微,W-004,フォークリフトオペレーター,14,"倉庫・搬送エリアの視野の悪いカーブを電動フォークリフトで旋回中、徒歩で移動していた作業者と接触し相手が腕部を打撲した。2023年・2024年と同一の曲がり角で2年連続のヒヤリハットが続いていたが、今回はじめて実際の接触事故となった。現場を確認したところ歩行者注意シールが再び剥離していた。","ステッカーによる一時対策が根本的な物理的安全措置の代替として使われ続けた。2年間同一箇所のヒヤリハットが発生しても抜本的な設備対策が実施されなかった。","当該カーブへの物理的バリア（安全柵）設置が予算承認された。設置完了までの暫定措置として当該エリアに誘導員を配置した。"
ACC-2025-006,2025-03-13,22:00,"第1製造棟 組立エリア",コンベア,中位,W-007,パート・アルバイト,3,"夜勤帯の第1製造棟 組立ラインでの補充部品搬送作業中、流れているベルトコンベアを跨ごうとした際に足が引っかかって前方に転倒した。咄嗟に両手をついたが右手首を強打し捻挫で2週間の休業となった。夜勤帯は照明が暗く、ラインの端の位置が分かりにくかった。","コンベアラインの跨ぎ移動は禁止されているが、近道のために慣習的に行われていた。夜勤帯の照明が不足しており足元の安全確認が困難だった。","コンベアライン跨ぎ禁止の再周知と現場への警告掲示を行った。当該エリアの夜勤時間帯の照明設備を強化した。"
ACC-2025-007,2025-05-21,10:15,"第2製造棟 機械加工エリア",高所作業車,重大,W-006,設備保全スタッフ,22,"第2製造棟の天井付近でのケーブル引き直し作業中、高所作業車の昇降台上で前傾姿勢での作業中にバランスを崩し、防護ネットを越えて約2.5mの高さから転落した。腰椎圧迫骨折と右膝靭帯断裂で救急搬送・手術となり、復帰まで3ヶ月以上が見込まれる。フルハーネスを着用していなかった。","高所作業時のフルハーネス着用義務が守られていなかった。ベテランとして自己判断で着用を省略する慣行が定着していた。2名体制ルールも有名無実化していた。","高所作業時のフルハーネス着用を絶対条件とし、未着用時の作業開始を禁じるチェック体制を導入した。設備保全チーム全員の高所作業安全教育を再受講とした。"
ACC-2025-008,2025-10-07,15:20,"第2製造棟 機械加工エリア",旋盤,中位,W-009,機械オペレーター,6,"第2製造棟 機械加工エリアの旋盤加工後の切削くず清掃中、積み重なった切りくずを素手に近い状態で払い除けようとした際に親指付け根を深く切傷した。4針の縫合が必要で3日間の休業となった。2023年・2024年と同じ作業場面での受傷が3度目となった。","切りくず清掃時の耐切創グローブ着用を2度指導されていたにもかかわらず改善されなかった。グローブ着用を義務化・確認する仕組みが整備されていなかった。","切りくず除去時の耐切創グローブ着用を作業標準書に明記し班長による日次確認を制度化した。切削くずカバーにセンサー付き安全機構を導入する機器発注を実施した。"
ACC-2025-009,2025-01-22,16:30,"第2製造棟 溶接エリア",溶接機,ヒヤリハット,W-014,製造スタッフ,8,"第2製造棟 溶接エリアでのミグ溶接作業開始前の点検中に、溶接機の電源ケーブルの被覆が一部破れているのを発見した。感電には至らなかったが、気づかずに作業を開始していれば重大な感電事故になりえた。","溶接機の電源ケーブルの定期点検が行われておらず、長期使用による被覆劣化が見過ごされていた。",""
ACC-2025-010,2025-08-05,08:40,"倉庫・搬送エリア",フォークリフト,ヒヤリハット,W-004,フォークリフトオペレーター,14,"倉庫・搬送エリアでの棚卸し作業中、電動フォークリフトで後退する際に後方確認が不十分なまま壁際に接近し、壁とフォークリフトの間に挟まれそうになった作業者が直前に横へ退避した。","後退時のバックミラーおよびモニターによる後方確認が不十分だった。",""
ACC-2025-011,2025-02-04,13:00,"第1製造棟 プレスエリア",プレス機,ヒヤリハット,W-013,設備保全スタッフ,17,"第1製造棟 プレスエリアでの保守作業後の試運転中、金型の固定が不完全なまま起動したところ金型が微小にずれた状態で作動した。スタンプ工具への干渉は発生しなかったが、あと僅かで工具が弾き飛ばされる状況だった。","保守後の金型取り付け状態の再確認が不十分だった。",""
ACC-2025-012,2025-11-19,09:15,"第1製造棟 プレスエリア",プレス機,ヒヤリハット,W-001,製造スタッフ,5,"第1製造棟 プレスエリアでの作業中、加工素材のセット位置がわずかにずれているのに気づき停止ボタンを押したが機械が一瞬作動した。手は事前に退避させていたため怪我はなかった。","機械起動前に素材の位置確認を十分に行わなかった。",""
ACC-2025-013,2025-04-28,21:30,"屋外（荷捌き場）",フォークリフト,ヒヤリハット,W-011,フォークリフトオペレーター,9,"夜勤帯の屋外荷捌き場でのトラックへの積み込み作業中、電動フォークリフトで走行した際に路面の段差で車体が大きく揺れ、フォーク上の積荷が不安定になった。落下には至らなかったが、近くで誘導していた作業者が急いで退避した。","夜間の暗い中で路面の段差を事前に確認せず走行した。走行前の経路確認が不十分だった。","夜勤帯の屋外搬送エリアへの照明増設を申請した。走行前の経路段差確認を徹底するよう周知した。"
ACC-2025-014,2025-09-02,15:45,"第1製造棟 組立エリア",グラインダー,軽微,W-010,品質管理スタッフ,4,"第1製造棟 組立エリアでのアルミ部品のバリ取り作業中、ハンドグラインダーの砥石交換の際に専用工具を使わず素手で締め付けナットを回そうとして右手中指を切傷した。傷は浅く処置後業務に復帰した。","砥石交換に専用工具を使用しなかった。交換手順の習熟が不十分で正しい方法を把握していなかった。","砥石交換時の専用工具使用を徹底した。交換手順を写真付きで機器に貼付した。"
ACC-2025-015,2025-06-18,22:15,"第2製造棟 機械加工エリア",切断機,軽微,W-003,品質管理スタッフ,10,"夜勤帯の第2製造棟 機械加工エリアでのレーザー切断機による薄板加工中、素材の端部が熱変形で予期せぬ方向に反り返り、手元付近に当たって表皮に擦り傷を負った。当日処置後業務に復帰した。","薄い素材の熱変形による反りを考慮せずに加工を進めた。素材の材質に合った固定治具の使用が周知されていなかった。","変形が生じやすい薄板素材の加工時に追加固定治具の使用を作業手順に組み込んだ。"
ACC-2025-016,2025-12-03,20:30,"第1製造棟 組立エリア",コンベア,ヒヤリハット,W-001,製造スタッフ,5,"夜勤帯の第1製造棟 組立ラインでの部品補充中、搬送コンベアのローラー部に作業着の袖が接触しそうになり、咄嗟に腕を引いた。怪我はなかった。","",""
